projection_function	clustering_algorithm	n_cubes	perc_overlap	unclustered_samples	num_clusters	num_edges	num_connected_components	std_dev_cluster_sizes	combined_score
PCA(n_components=1, random_state=0)	AgglomerativeClustering(distance_threshold=1.0, n_clusters=None)	5	0.5	0	858	432	426	5.9535306588960655	0.0
PCA(n_components=1, random_state=0)	AgglomerativeClustering(distance_threshold=1.0, n_clusters=None)	5	0.75	0	1597	2226	429	6.162794062266472	0.0
PCA(n_components=1, random_state=0)	AgglomerativeClustering(distance_threshold=1.0, n_clusters=None)	10	0.1	0	491	62	429	5.578395418347481	0.0
PCA(n_components=1, random_state=0)	AgglomerativeClustering(distance_threshold=1.0, n_clusters=None)	10	0.25	0	595	170	425	5.200448123749004	0.0
PCA(n_components=1, random_state=0)	AgglomerativeClustering(distance_threshold=1.0, n_clusters=None)	10	0.5	0	886	461	425	5.857253680245976	0.0
PCA(n_components=1, random_state=0)	AgglomerativeClustering(distance_threshold=1.0, n_clusters=None)	10	0.75	0	1715	2586	425	5.954588667357112	0.0
PCA(n_components=1, random_state=0)	AgglomerativeClustering(distance_threshold=1.0, n_clusters=None)	15	0.1	0	503	73	430	6.156615666213845	0.0
PCA(n_components=1, random_state=0)	AgglomerativeClustering(distance_threshold=1.0, n_clusters=None)	15	0.25	0	603	177	426	6.855638353445783	0.0
PCA(n_components=1, random_state=0)	AgglomerativeClustering(distance_threshold=1.0, n_clusters=None)	15	0.5	0	887	466	422	5.83452150508381	0.0
PCA(n_components=1, random_state=0)	AgglomerativeClustering(distance_threshold=1.0, n_clusters=None)	15	0.75	0	1734	2656	421	5.913469163467712	0.0
PCA(n_components=1, random_state=0)	AgglomerativeClustering(distance_threshold=1.0, n_clusters=None)	20	0.1	0	525	71	454	5.409859144535911	0.0
PCA(n_components=1, random_state=0)	AgglomerativeClustering(distance_threshold=1.0, n_clusters=None)	20	0.25	0	608	180	428	5.114245935767718	0.0
PCA(n_components=1, random_state=0)	AgglomerativeClustering(distance_threshold=1.0, n_clusters=None)	20	0.5	0	892	477	416	5.816192333950022	0.0
PCA(n_components=1, random_state=0)	AgglomerativeClustering(distance_threshold=1.0, n_clusters=None)	20	0.75	0	1741	2690	416	5.900793767273055	0.0
PCA(n_components=1, random_state=0)	AgglomerativeClustering(distance_threshold=1.0, n_clusters=None)	30	0.1	1	541	85	456	5.290617948000211	0.0
PCA(n_components=1, random_state=0)	AgglomerativeClustering(distance_threshold=1.0, n_clusters=None)	30	0.25	1	621	190	431	6.662390983437333	0.0
PCA(n_components=1, random_state=0)	AgglomerativeClustering(distance_threshold=1.0, n_clusters=None)	30	0.5	0	933	516	417	5.6841975303118994	0.0
PCA(n_components=1, random_state=0)	AgglomerativeClustering(distance_threshold=1.0, n_clusters=None)	30	0.75	0	1788	2832	415	5.822179134158109	0.0
PCA(n_components=1, random_state=0)	AgglomerativeClustering(distance_threshold=1.0, n_clusters=None)	50	0.1	6	578	83	495	5.090619290467457	0.0
PCA(n_components=1, random_state=0)	AgglomerativeClustering(distance_threshold=1.0, n_clusters=None)	50	0.25	4	681	221	460	4.74500124763909	0.0
PCA(n_components=1, random_state=0)	AgglomerativeClustering(distance_threshold=1.0, n_clusters=None)	50	0.5	2	969	552	417	4.958107647964445	0.0
PCA(n_components=1, random_state=0)	AgglomerativeClustering(distance_threshold=1.0, n_clusters=None)	50	0.75	0	1828	2987	402	5.435858406238367	0.0
PCA(n_components=1, random_state=0)	AgglomerativeClustering(distance_threshold=10.0, n_clusters=None)	5	0.1	0	46	46	3	20.224215771981925	0.2899999999999999
PCA(n_components=1, random_state=0)	AgglomerativeClustering(distance_threshold=10.0, n_clusters=None)	5	0.25	0	52	65	3	19.220102811145573	0.039999999999999925
PCA(n_components=1, random_state=0)	AgglomerativeClustering(distance_threshold=10.0, n_clusters=None)	5	0.5	0	71	103	1	23.30839959687294	0.0
PCA(n_components=1, random_state=0)	AgglomerativeClustering(distance_threshold=10.0, n_clusters=None)	5	0.75	0	138	368	4	22.41630446202249	0.0
PCA(n_components=1, random_state=0)	AgglomerativeClustering(distance_threshold=10.0, n_clusters=None)	10	0.1	0	55	46	14	18.532936951981345	0.0
PCA(n_components=1, random_state=0)	AgglomerativeClustering(distance_threshold=10.0, n_clusters=None)	10	0.25	0	63	94	3	18.346926864508674	0.0
PCA(n_components=1, random_state=0)	AgglomerativeClustering(distance_threshold=10.0, n_clusters=None)	10	0.5	0	81	131	1	21.962126716395804	0.0
PCA(n_components=1, random_state=0)	AgglomerativeClustering(distance_threshold=10.0, n_clusters=None)	10	0.75	0	147	591	2	20.698132727680974	0.0
PCA(n_components=1, random_state=0)	AgglomerativeClustering(distance_threshold=10.0, n_clusters=None)	15	0.1	0	62	53	9	21.223042520311232	0.0
PCA(n_components=1, random_state=0)	AgglomerativeClustering(distance_threshold=10.0, n_clusters=None)	15	0.25	0	78	105	2	20.254008296409033	0.0
PCA(n_components=1, random_state=0)	AgglomerativeClustering(distance_threshold=10.0, n_clusters=None)	15	0.5	0	101	164	1	18.48782376288516	0.0
PCA(n_components=1, random_state=0)	AgglomerativeClustering(distance_threshold=10.0, n_clusters=None)	15	0.75	0	149	687	1	22.14727882542683	0.0
PCA(n_components=1, random_state=0)	AgglomerativeClustering(distance_threshold=10.0, n_clusters=None)	20	0.1	0	66	54	17	18.767510953807527	0.0
PCA(n_components=1, random_state=0)	AgglomerativeClustering(distance_threshold=10.0, n_clusters=None)	20	0.25	0	79	106	2	16.03467241436469	0.0
PCA(n_components=1, random_state=0)	AgglomerativeClustering(distance_threshold=10.0, n_clusters=None)	20	0.5	0	104	170	1	19.745336877408977	0.0
PCA(n_components=1, random_state=0)	AgglomerativeClustering(distance_threshold=10.0, n_clusters=None)	20	0.75	0	163	777	1	21.90757086795882	0.0
PCA(n_components=1, random_state=0)	AgglomerativeClustering(distance_threshold=10.0, n_clusters=None)	30	0.1	1	76	67	16	15.72911709708271	0.0
